42Issue1.Slave;42Issue1;Disk Magazine;42 - Issue 1 (Talent);42 Issue 1;42Issue1.info;42Issue1_v1.0_Talent.lha
42Issue1AGA.Slave;42Issue1AGA;Disk Magazine;42 - Issue 1 (Talent) (AGA);42 Issue 1 AA;42Issue1AGA.info;42Issue1_v1.0_Talent_AGA.lha
42Issue2.Slave;42Issue2;Disk Magazine;42 - Issue 2 (Talent);42 Issue 2;42Issue2.info;42Issue2_v1.0_Talent.lha
4DSportsBoxing.slave;4DSportsBoxing;Sport / Boxing;4D Sports Boxing;4D Sports Boxing;4DSportsBoxing.info;4DSportsBoxing_v1.3b_0421.lha
4DSportsDriving.slave;4DSportsDriving;Racing / Car / Driver View;4D Sports Driving;4D Sports Driving;4DSportsDriving.info;4DSportsDriving_v1.2_1461.lha
4DSportsDriving&MstrTrcks.slave;4DSportsDriving&MstrTrcks;Racing / Car / Driver View;4D Sports Driving & Master Tracks;4D Sports Driving & MTrck;4DSportsDriving&MstrTrcks.info;4DSportsDriving&MasterTracks_v1.2_1461.lha
4th&Inches.slave;4th&Inches;Sport / American Football;4th & Inches;4th & Inches;4th&Inches.info;4th&Inches_v1.1_1230.lha
4x4OffRoadRacingNTSC.Slave;4x4OffRoadRacingNTSC;Racing / Car / Chase View;4x4 Off Road Racing (NTSC);4x4 Off Road Racing US;4x4OffRoadRacingNTSC.info;4x4OffRoadRacing_v1.0_NTSC_1480.lha
5Yards.Slave;5Yards;Demo / Intro;5 Yards (Vision);5 Yards;5Yards.info;5Yards_v1.0_Vision.lha
5thGear.Slave;5thGear;Action / Shooter / Vehicle;5th Gear;5th Gear;5thGear.info;5thGear_v1.0_1001.lha
688AttackSub.Slave;688AttackSub;Simulator / Submarine;688 Attack Sub;688 Attack Sub;688AttackSub.info;688AttackSub_v1.2_0093.lha
7Colors.Slave;7Colors;Puzzle / 2D;7 Colors;7 Colors;7Colors.info;7Colors_v1.1_0956.lha
8BitJungle.slave;8BitJungle;Demo / Music Disk;8 Bit Jungle (Unstable Label);8 Bit Jungle;8BitJungle.info;8BitJungle_v1.01_UnstableLabel.lha
9Fingers.Slave;9Fingers;Demo;9 Fingers (Spaceballs);9 Fingers;9Fingers.info;9Fingers_v1.2_Spaceballs.lha
9Lives.Slave;9Lives;Platform / Action;9 Lives;9 Lives;9Lives.info;9Lives_v1.0.lha
AFewTunes.Slave;AFewTunes;Demo / Music Disk;A Few Tunes By Dr Awesome & Fleshbrain (Crusaders);A Few Tunes;AFewTunes.info;AFewTunes_v1.0_Crusaders.lha
A10TankKiller2Disk.Slave;A10TankKiller2Disk;Simulator / Plane / Combat;A-10 Tank Killer (Two Disk);A-10 Tank Killer;A10TankKiller2Disk.info;A10TankKiller_v2.0_2Disk_1396.lha
A10TankKiller3Disk.Slave;A10TankKiller3Disk;Simulator / Plane / Combat;A-10 Tank Killer v1.5 (Three Disk);A-10 Tank Killer 1.5;A10TankKiller3Disk.info;A10TankKiller_v2.0_3Disk.lha
SensationAGA.Slave;SensationAGA;Demo;A-Sensation (Ramses) (AGA);A-Sensation AA;SensationAGA.info;Sensation_v1.0_Ramses_AGA.lha
ATrain.slave;ATrain;Management / Transport;A-Train;A-Train;ATrain.info;ATrain_v1.4_1010.lha
ATrain.slave;ATrain&ConstructionSet;Management / Transport;A-Train & Construction Set;A-Train Construction Set;ATrain.info;ATrain&ConstructionSet_v1.4_1010&1469.lha
ATrain512k.slave;ATrain&ConstrSet512k;Management / Transport;A-Train & Construction Set (512KB);A-Train+Const. Set 512k;ATrain512k.info;ATrain&ConstructionSet_v1.4_512k_1010&1469.lha
ATrain512k.slave;ATrain512k;Management / Transport;A-Train (512KB);A-Train 512k;ATrain512k.info;ATrain_v1.4_512k_1010.lha
ATrain512kCz.slave;ATrain512kCz;Management / Transport;A-Train (512KB) (Czech);A-Train 512kCz;ATrain512kCz.info;ATrain_v1.4_512k_Cz.lha
ATrain512kFr.slave;ATrain512kFr;Management / Transport;A-Train (512KB) (French);A-Train 512kFr;ATrain512kFr.info;ATrain_v1.4_512k_Fr_2579.lha
ATrain512kDe.slave;ATrain512kDe;Management / Transport;A-Train (512KB) (German);A-Train 512kDe;ATrain512kDe.info;ATrain_v1.4_512k_De_0428.lha
ATrain512kPl.slave;ATrain512kPl;Management / Transport;A-Train (512KB) (Polish);A-Train 512kPl;ATrain512kPl.info;ATrain_v1.4_512k_Pl.lha
